region,sector,gender_lead,repayment_interval,loan_amount,funded_amount,lender_count,average_count
Vihiga,Health,female,irregular,53100.0,53100.0,1766,12.556142084418633
nyeri,Agriculture,female,monthly,53000.0,52075.0,1594,20.666997911907544
Bungoma South,Agriculture,female,bullet,51975.0,51975.0,1527,9.802145299575585
Nairobi,Retail,male,bullet,51650.0,51650.0,1530,20.61962577357698
Nakuru,Services,female,monthly,50300.0,48025.0,1472,11.503468578491194
Nanyuki,Agriculture,male,monthly,50000.0,50000.0,1589,18.729940592755472
Nairobi,Manufacturing,male,irregular,50000.0,50000.0,1094,19.950584035350424
Molo,Agriculture,male,monthly,49375.0,45500.0,1331,8.877135954428852
Mwambalazi,Retail,female,irregular,49175.0,48100.0,1497,11.681027162451622
Naivasha,Food,female,monthly,48725.0,45225.0,1254,6.776095347811196
Kitale,Agriculture,female,bullet,48275.0,48275.0,1520,21.364481042456983
Nkubu,Food,female,monthly,48025.0,42700.0,1188,15.341995069202511
Mikinduri,Food,female,irregular,47850.0,46800.0,1375,19.83592772555487
Kisii,Retail,female,monthly,47725.0,45825.0,1365,15.844089420952674
Tala;Kangundo,Agriculture,female,monthly,47675.0,47500.0,1504,17.451770978071465
Nakuru,Retail,female,irregular,47550.0,46775.0,1435,24.53932533645381
Siongiroi,Agriculture,male,monthly,47275.0,44150.0,1343,13.01591474682533
Voi,Agriculture,female,irregular,47125.0,47125.0,1451,13.526240685715514
Embu,Agriculture,female,monthly,46775.0,38250.0,1125,23.951909855683365
Ngara,Retail,female,monthly,44225.0,43150.0,1276,18.253673193948035
Tiribe,Clothing,female,irregular,43750.0,43625.0,1417,12.021312483338596
Kisii,Transportation,male,monthly,43525.0,40950.0,1282,21.55489662638654
Nakuru,Food,male,monthly,43000.0,36550.0,1097,21.99119130902997
Mombasa,Services,female,monthly,42575.0,40925.0,1284,20.003986140324546
Nyahururu,Agriculture,male,monthly,42200.0,36650.0,982,19.557140423726327
Mombasa,Clothing,female,monthly,41775.0,37275.0,1167,23.579371895827727
Kakamega,Retail,female,monthly,41200.0,38100.0,1220,13.92124567003025
Migori,Retail,female,monthly,40800.0,36025.0,1035,11.658059135237842
Eldoret,Retail,female,monthly,40400.0,38050.0,1124,18.045059304327896
Voi,Food,female,monthly,39925.0,37350.0,1061,10.914189591324423
Kisumu,Food,female,irregular,39600.0,38300.0,1259,12.554232536671066
Matete-,Agriculture,female,bullet,39550.0,35275.0,1086,23.236857407134405
Thika,Food,female,monthly,38225.0,36225.0,1136,19.33403269612158
Kisii,Retail,male,monthly,37650.0,31600.0,975,8.877867315039321
Limuru,Agriculture,male,monthly,37275.0,36725.0,1091,12.44492614806738
Kapsabet,Agriculture,female,monthly,37025.0,36425.0,1133,22.287405286531698
Machakos,Retail,male,monthly,36625.0,27925.0,845,12.273230123440497
Kericho,Food,female,monthly,36600.0,34450.0,1111,19.275905710581338
Nakuru,Services,male,monthly,36575.0,34500.0,1103,19.35750602569204
Voi,Retail,female,irregular,36075.0,35150.0,1106,17.41654794203851
Kiambu,Manufacturing,male,irregular,36000.0,36000.0,1180,18.279117342439186
Maua,Retail,male,monthly,35450.0,27500.0,753,14.620480836442603
Mombasa,Food,male,monthly,35300.0,30575.0,912,20.985327836366373
Kakamega,Retail,male,monthly,34850.0,25550.0,730,13.25768149520089
Msambweni,Agriculture,female,irregular,33950.0,33950.0,1072,17.359004150578933
Narok,Transportation,male,monthly,33325.0,29475.0,810,6.947744423018134
Kilifi,Services,female,monthly,32875.0,32375.0,976,11.272003282111177
Mwea,Agriculture,female,monthly,32475.0,31950.0,892,20.324880871654003
Nyamira,Food,female,monthly,31950.0,25475.0,788,26.419386487149115
Taveta,Food,female,monthly,31700.0,29450.0,821,14.260017570181335
Tala;Kangundo,Food,female,monthly,31600.0,31200.0,999,6.808247848092304
Machakos,Services,female,monthly,31000.0,28950.0,856,13.016015813240383
Kilifi,Clothing,female,monthly,30825.0,25025.0,745,18.60935449122573
Kisii,Agriculture,male,irregular,30725.0,30725.0,975,13.76268158577712
Kilifi,Food,male,monthly,30675.0,24750.0,735,12.85202795522229
Ngara,Services,female,monthly,30050.0,27700.0,855,17.37125711795663
Nairobi,Services,female,irregular,30000.0,30000.0,853,24.745649256181693
Voi,Retail,male,monthly,29950.0,21425.0,622,14.798898864997453
Kericho,Retail,male,monthly,29800.0,25800.0,801,13.518887837010578
Kenyenya,Agriculture,male,monthly,29700.0,25925.0,815,17.5010017965081
Mwambalazi,Clothing,female,irregular,29700.0,29250.0,878,13.10053605900316
Kakamega,Food,female,monthly,29375.0,28450.0,844,20.51110175869324
Nyandarua South,Agriculture,male,monthly,28825.0,26000.0,805,14.439589952405452
Embu,Agriculture,male,monthly,28400.0,26050.0,758,17.855886850136656
Githunguri,Personal Use,female,monthly,28275.0,28275.0,881,18.205623243492013
Tala;Kangundo,Retail,female,monthly,28075.0,24650.0,747,19.159913777188365
Bungoma,Retail,female,monthly,27900.0,25025.0,714,19.9851008002478
Kisii,Food,male,monthly,27875.0,25675.0,788,18.33718075590148
Kisumu,Services,male,monthly,27850.0,25850.0,818,25.844542885404756
Nakuru East,Agriculture,male,monthly,27750.0,25000.0,793,12.329787532458496
Changamwe,Food,female,irregular,27675.0,27225.0,777,14.937757154671722
Kakamega,Transportation,male,monthly,27650.0,23525.0,587,17.898727603146327
Kisumu,Food,male,monthly,27625.0,24375.0,755,8.748369434469936
Kisauni,Agriculture,female,irregular,27575.0,27575.0,856,23.500220346151384
Eldoret,Retail,female,irregular,27375.0,18350.0,543,12.018631051318323
Kilifi,Agriculture,female,monthly,27350.0,26925.0,799,8.337007293100033
Migori,Food,female,monthly,27150.0,26825.0,792,17.427086851773343
Gatundu,Agriculture,female,monthly,27050.0,27050.0,862,20.636890908381123
Nyandarua South,Agriculture,female,monthly,27050.0,26375.0,806,11.378413629396327
Samburu,Agriculture,female,irregular,26850.0,26850.0,870,15.963813627187575
Kapsabet,Food,female,monthly,26825.0,26275.0,764,16.224307808169335
Mwambalazi,Agriculture,female,irregular,26800.0,26800.0,928,5.869066533938922
Bungoma South,Agriculture,male,bullet,26450.0,26450.0,813,13.35508188121672
Nakuru,Construction,male,monthly,26225.0,26225.0,857,13.625935883272714
Bungoma,Retail,male,monthly,26175.0,21050.0,583,21.52491840976785
Bomet,Agriculture,male,monthly,26050.0,23050.0,737,18.33644087849916
karatina,Agriculture,male,monthly,25625.0,22700.0,705,17.76472329765867
Narok,Agriculture,female,monthly,25425.0,25425.0,680,19.48054262893137
Bungoma,Agriculture,male,monthly,25400.0,22225.0,634,18.283295258494746
Kilifi,Education,male,irregular,25350.0,25350.0,605,3.966466853692383
Kibwezi,Retail,female,monthly,25325.0,21850.0,645,15.61882119513508
Kericho,Retail,female,monthly,25150.0,24675.0,720,12.41250851314873
Matete-,Agriculture,male,bullet,25100.0,14625.0,363,10.485753689284843
Busia,Retail,female,monthly,24625.0,21225.0,552,22.037030641869258
Naivasha,Retail,male,monthly,24500.0,18800.0,582,11.900865602307528
Busia,Food,female,monthly,24475.0,23500.0,722,15.62169759757831
Machakos,Clothing,female,monthly,24125.0,22975.0,616,11.181946030785891
Taveta,Agriculture,female,monthly,24100.0,23600.0,722,16.105853106128123
Nakuru West,Agriculture,male,monthly,23950.0,23200.0,694,17.792048135922755
Mombasa,Services,male,monthly,23900.0,22725.0,715,15.438403190312
Kiambu,Retail,female,monthly,23675.0,23675.0,736,21.77299322748948
Changamwe,Retail,female,monthly,23575.0,21650.0,605,22.155636839794663
Kitale,Agriculture,male,bullet,23575.0,23575.0,782,19.747030666154746
Ndaragwa,Agriculture,female,monthly,23525.0,23500.0,749,15.221392019683284
Makueni,Food,female,irregular,23500.0,23125.0,742,16.39840286901039
karatina,Retail,female,monthly,23350.0,23050.0,659,21.525760769869986
Mwea,Agriculture,male,monthly,23300.0,20700.0,585,18.422012056030958
Ngara,Clothing,female,monthly,23225.0,21125.0,549,14.159633081990235
Kisii,Services,female,monthly,22925.0,22175.0,685,19.96971002461865
Siongiroi,Food,female,monthly,22900.0,22625.0,608,16.570643199888863
Thika,Retail,female,monthly,22725.0,22125.0,698,14.573599997983925
Migori,Retail,male,monthly,22700.0,19325.0,531,29.005755496662907
Mwea,Retail,female,monthly,22600.0,19825.0,578,26.451008579140588
Kisii,Services,male,monthly,22525.0,22425.0,733,19.869481787672143
Kisumu,Retail,female,irregular,22175.0,19300.0,621,25.369895535003042
Kaloleni,Agriculture,female,irregular,22175.0,22000.0,712,21.608484873594396
Matuu,Agriculture,female,monthly,22100.0,19625.0,661,18.028297117359912
Limuru,Food,female,monthly,21875.0,21375.0,660,22.44862447681225
Kisii,Construction,male,monthly,21775.0,21775.0,667,23.05341731499053
Eldoret,Retail,male,monthly,21775.0,14350.0,369,19.25484639224549
Likoni,Agriculture,female,irregular,21700.0,21700.0,671,10.637797464672264
Naivasha,Clothing,female,monthly,21650.0,19375.0,556,9.08133313330432
Eldoret,Food,female,irregular,21550.0,19175.0,610,22.54082433290225
Tala,Agriculture,female,monthly,21250.0,21025.0,631,18.18295065945687
Kericho,Agriculture,male,irregular,21225.0,17350.0,537,10.341128719606333
Bungoma,Food,male,monthly,21000.0,15475.0,471,16.27779950511854
Kapsowar,Food,female,monthly,21000.0,20600.0,650,13.569441265926924
Bungoma,Agriculture,male,irregular,20700.0,20050.0,712,12.716732270589668
Eldoret,Services,female,monthly,20525.0,19275.0,592,23.266858107303836
Nairobi,Services,male,monthly,20500.0,19825.0,650,17.314222232992318
Voi,Clothing,female,irregular,20500.0,19950.0,693,19.335389016116917
Tiribe,Services,female,irregular,20250.0,20250.0,662,24.4104853703539
Maua,Agriculture,female,monthly,20125.0,19800.0,524,10.353831956605493
Kisii,Agriculture,female,irregular,20050.0,20050.0,679,13.396462722074356
Vihiga,Health,male,irregular,19800.0,19800.0,670,11.794142253194268
Nairobi Central,Retail,female,monthly,19750.0,19725.0,657,23.54071270910456
Naivasha,Agriculture,female,monthly,19725.0,19725.0,597,19.295938589342963
Machakos,Food,male,monthly,19650.0,15925.0,461,16.658237611263154
Mwea,Food,female,monthly,19600.0,18100.0,513,13.876329747703151
Ngara,Retail,male,monthly,19475.0,16950.0,509,13.572361302838077
Msambweni,Services,female,irregular,19375.0,19100.0,611,21.84913466102132
Tala;Kangundo,Retail,male,monthly,19300.0,16025.0,485,9.962157505011568
Mukuru (Nairobi),Services,male,monthly,19275.0,19275.0,634,13.69968095676539
Eldoret,Agriculture,female,irregular,19075.0,17800.0,555,16.477917182666484
nyeri,Agriculture,male,monthly,18950.0,14925.0,413,16.511374137088705
Changamwe,Food,female,monthly,18900.0,17825.0,489,15.781071135791418
nyeri,Retail,female,monthly,18850.0,17250.0,505,12.711071348046389
Kapsabet,Agriculture,male,monthly,18800.0,16500.0,482,31.7578835705829
Murang'a,Agriculture,female,monthly,18800.0,18525.0,608,19.93702400219593
Ngara,Food,female,monthly,18750.0,18750.0,600,15.057119422404323
Nakuru,Clothing,male,monthly,18700.0,14500.0,417,11.607493423792482
Githunguri,Personal Use,male,monthly,18625.0,18625.0,640,18.335129126506892
Naivasha,Services,female,monthly,18575.0,16700.0,469,18.252360394303164
Samburu,Services,female,irregular,18325.0,17825.0,580,26.173544069867894
Kakamega,Food,male,monthly,18275.0,16400.0,465,29.667174586752587
Thika,Transportation,male,monthly,18225.0,16750.0,512,14.629667232504412
Narok,Retail,female,monthly,18000.0,17500.0,536,28.336121428465685
Makueni,Retail,female,irregular,17900.0,15975.0,515,17.28811455751002
Nairobi,Services,female,monthly,17850.0,17725.0,596,19.973678501135435
Nairobi Central,Retail,male,monthly,17775.0,15925.0,474,6.8151236592712765
Kisumu,Construction,male,monthly,17750.0,17225.0,510,21.941772526367313
Embu,Agriculture,female,irregular,17425.0,12250.0,352,16.90233623755484
Eldoret,Food,male,monthly,17150.0,12675.0,361,11.418106158275767
Muranga,Agriculture,female,irregular,17150.0,17150.0,552,14.602396710548767
Samburu,Clothing,female,irregular,17000.0,16050.0,524,14.74259531647285
Mombasa,Retail,female,irregular,16925.0,14575.0,385,17.406078672537596
Kapsabet,Clothing,female,monthly,16825.0,14450.0,418,18.535764426520252
Kitale,Personal Use,female,monthly,16775.0,16775.0,562,9.600759051810087
Machakos,Transportation,male,monthly,16775.0,12425.0,378,5.843499430558824
Kisii,Clothing,female,monthly,16725.0,16725.0,520,16.308641152026798
Tala;Kangundo,Clothing,female,monthly,16700.0,15675.0,481,20.212522178744347
Kisumu,Agriculture,female,monthly,16650.0,16400.0,537,25.1492709996078
Eldoret,Retail,male,irregular,16625.0,9500.0,260,23.829440610610785
Eldoret,Clothing,female,irregular,16600.0,13150.0,423,17.638336570188834
KABARNET,Retail,female,monthly,16575.0,15675.0,472,30.222955969133103
Kakamega,Services,male,monthly,16325.0,15125.0,446,17.224061420016863
Kisumu,Transportation,male,irregular,16275.0,12275.0,393,20.09117424235513
Ngara,Agriculture,female,monthly,16200.0,16200.0,470,16.46723393859657
Kericho,Food,female,irregular,16175.0,14125.0,447,13.292489865428667
Kapsabet,Education,female,monthly,16100.0,16100.0,507,18.77188952757098
Kitale,Retail,female,monthly,16075.0,13450.0,369,15.19995266965619
Taveta,Agriculture,male,monthly,16050.0,14300.0,356,15.821881332190927
Eldoret,Services,female,irregular,16000.0,15400.0,480,11.269580968821671
Limuru,Clothing,female,monthly,15975.0,15975.0,511,24.175738175107554
Embu,Food,female,monthly,15950.0,15300.0,382,14.13394481905419
Kericho,Agriculture,female,irregular,15875.0,15875.0,528,12.883173931536158
Tala;Kangundo,Agriculture,male,monthly,15875.0,15000.0,444,20.89177101107649
Eldoret,Transportation,male,irregular,15775.0,11250.0,362,21.264372346026203
KABARNET,Agriculture,female,monthly,15750.0,15425.0,474,14.972364702716431
Embu,Retail,female,monthly,15750.0,15175.0,495,13.636775500170877
Migori,Transportation,male,monthly,15700.0,13825.0,353,25.86614612239028
Maua,Agriculture,female,irregular,15575.0,14900.0,492,15.016985427735431
karatina,Food,female,monthly,15400.0,14350.0,419,5.966233299752523
Kakamega,Clothing,female,monthly,15400.0,15400.0,490,16.80520516758618
Nakuru,Manufacturing,male,monthly,15300.0,15300.0,516,16.610835353397405
Changamwe,Retail,female,irregular,15300.0,14775.0,473,14.208438102150716
Bungoma,Retail,female,irregular,15300.0,11125.0,295,21.132725376691376
Kisumu,Services,female,irregular,15300.0,14175.0,414,17.967322478756074
Maua,Services,female,monthly,15225.0,12375.0,378,13.970998730834438
Makueni,Agriculture,male,monthly,15150.0,14225.0,409,16.738445357159648
Ongata-Rongai,Retail,female,monthly,15075.0,13750.0,405,19.23220537843535
Narok,Food,female,monthly,15050.0,15050.0,441,16.873259341198832
malindi,Food,female,monthly,15050.0,13925.0,440,5.358044463629449
nyeri,Agriculture,female,irregular,15025.0,12825.0,376,6.811323235285606
Voi,Clothing,female,monthly,14825.0,12850.0,388,10.785641546266085
Kisumu,Clothing,female,irregular,14825.0,12325.0,427,16.61945446381152
Limuru,Retail,female,monthly,14775.0,14775.0,476,18.00116824624508
Taveta,Retail,male,monthly,14700.0,12575.0,326,22.598125293538295
Kericho,Food,male,monthly,14625.0,12900.0,392,20.35472801572685
Mukuru (Nairobi),Services,female,monthly,14350.0,14350.0,491,18.667502423555412
Narok,Retail,male,monthly,14300.0,13375.0,413,15.059865677949434
Kitale,Agriculture,female,irregular,14300.0,14300.0,495,16.714473386724087
Matuu,Agriculture,male,monthly,14225.0,12350.0,363,20.689399439209755
Kerugoya,Food,female,monthly,14200.0,12100.0,333,16.68203798777361
Kitale,Retail,male,monthly,14150.0,11125.0,323,17.07048342455409
Kakamega,Services,female,monthly,14125.0,13825.0,439,22.51526821804269
Mwambalazi,Services,female,irregular,14075.0,14075.0,452,11.466339029122379
Makueni,Agriculture,female,monthly,14075.0,13650.0,411,13.218203955471111
Voi,Services,female,irregular,14050.0,13975.0,442,14.140911032789255
Migori,Services,male,monthly,14050.0,11350.0,322,12.514889486129569
Eldoret,Transportation,female,monthly,13925.0,13775.0,466,21.58208492421059
Nairobi Central,Services,male,monthly,13825.0,13425.0,417,22.194506806644164
Kaloleni,Services,female,irregular,13800.0,12900.0,430,18.46822556584425
Changamwe,Clothing,female,irregular,13700.0,13300.0,428,17.101273578901708
Tala;Kangundo,Services,female,monthly,13625.0,12650.0,425,12.921577455609535
Voi,Food,male,monthly,13475.0,8150.0,214,14.336096188198033
Kilifi,Transportation,male,monthly,13475.0,10275.0,260,22.836467025949347
Nkoilale,Personal Use,male,irregular,13425.0,13425.0,408,18.40537249855855
Ongata-Rongai,Retail,male,monthly,13350.0,10775.0,260,19.48317643484207
Ndaragwa,Agriculture,male,monthly,13325.0,13125.0,403,14.014413319515993
Nairobi Central,Food,female,monthly,13250.0,12900.0,388,16.343381927360575
Kisumu,Education,female,monthly,13250.0,13250.0,433,20.7224271373295
Kericho,Clothing,female,monthly,13225.0,12775.0,364,16.908277004703365
Busia,Services,female,monthly,13225.0,11400.0,337,19.897795139431288
Thika Road,Retail,female,monthly,13200.0,13200.0,396,11.950203524383388
Bondo,Food,female,monthly,13125.0,13125.0,434,14.07622160966571
Matuu,Retail,female,monthly,13125.0,13125.0,417,14.157387691754586
Naikarra,Personal Use,female,irregular,13025.0,13025.0,352,16.631824017782
Eldoret,Personal Use,female,monthly,12975.0,12975.0,414,16.58509375843689
Naivasha,Agriculture,male,monthly,12900.0,11375.0,337,13.42418788230149
Voi,Agriculture,female,monthly,12875.0,12500.0,381,13.069060325537118
Migori,Services,female,monthly,12525.0,12525.0,406,13.476579337201585
Kiambu,Transportation,male,monthly,12425.0,9850.0,321,19.88074327916612
Mombasa,Transportation,male,monthly,12400.0,10375.0,331,20.720710386653526
Eldoret,Clothing,female,monthly,12400.0,11450.0,351,12.11506087866219
Maua,Clothing,female,monthly,12325.0,9500.0,286,15.583430344334992
Kerugoya,Education,female,monthly,12300.0,12300.0,393,11.24419255809503
Kitale,Food,male,monthly,12175.0,10875.0,295,6.347601080660514
Kisumu,Agriculture,female,irregular,12125.0,12125.0,380,13.807762994063514
Kapsabet,Retail,female,monthly,12050.0,11075.0,339,23.07155276743289
Siaya,Food,female,monthly,12025.0,12025.0,406,10.463189266829854
Naivasha,Food,male,monthly,11950.0,9800.0,293,17.5521517046271
